# source_id	kind	status	crystal_refs	notes
src/ast/mod.rs::enum::AssertionKind	enum	partial	Regex::Syntax::AST::Assertion::Kind	Missing some variants (WordBoundaryStart, WordBoundaryEnd, WordBoundaryStartAngle, WordBoundaryEndAngle)
src/hir/mod.rs::func::to_unicode_class	func	missing	-	auto-generated
src/hir/mod.rs::func::try_case_fold_simple	func	missing	-	auto-generated
src/hir/mod.rs::func::union	func	missing	-	auto-generated
src/hir/mod.rs::func::with	func	missing	-	auto-generated
src/hir/mod.rs::func::write_repr	func	missing	-	auto-generated
src/hir/mod.rs::method::Class.case_fold_simple	method	missing	-	auto-generated
src/hir/mod.rs::method::ClassBytesRange.new	method	missing	-	auto-generated
src/hir/mod.rs::method::ClassUnicodeRange.new	method	missing	-	auto-generated
src/hir/mod.rs::method::Error.kind	method	missing	-	auto-generated
src/hir/mod.rs::method::Hir.empty	method	missing	-	auto-generated
src/hir/mod.rs::method::Hir.kind	method	missing	-	auto-generated
src/hir/mod.rs::method::HirKind.subs	method	missing	-	auto-generated
src/hir/mod.rs::method::LookSet.empty	method	missing	-	auto-generated
src/hir/mod.rs::method::Properties.minimum_len	method	missing	-	auto-generated
src/hir/mod.rs::method::Repetition.with	method	missing	-	auto-generated
src/hir/mod.rs::struct::Capture	struct	missing	-	auto-generated
src/hir/mod.rs::struct::ClassBytes	struct	missing	-	auto-generated
src/hir/mod.rs::struct::ClassBytesIter	struct	missing	-	auto-generated
src/hir/mod.rs::struct::ClassBytesRange	struct	missing	-	auto-generated
src/hir/mod.rs::struct::ClassUnicode	struct	missing	-	auto-generated
src/hir/mod.rs::struct::ClassUnicodeIter	struct	missing	-	auto-generated
src/hir/mod.rs::struct::ClassUnicodeRange	struct	missing	-	auto-generated
src/hir/mod.rs::struct::Error	struct	missing	-	auto-generated
src/hir/mod.rs::struct::Hir	struct	missing	-	auto-generated
src/hir/mod.rs::struct::Literal	struct	missing	-	auto-generated
src/hir/mod.rs::struct::LookSet	struct	missing	-	auto-generated
src/hir/mod.rs::struct::LookSetIter	struct	missing	-	auto-generated
src/hir/mod.rs::struct::Properties	struct	missing	-	auto-generated
src/hir/mod.rs::struct::Repetition	struct	missing	-	auto-generated
src/hir/mod.rs::test::class_canonicalize_bytes	test	missing	-	auto-generated
src/hir/mod.rs::test::class_canonicalize_unicode	test	missing	-	auto-generated
src/hir/mod.rs::test::class_case_fold_bytes	test	missing	-	auto-generated
src/hir/mod.rs::test::class_case_fold_unicode	test	missing	-	auto-generated
src/hir/mod.rs::test::class_case_fold_unicode_disabled	test	missing	-	auto-generated
src/hir/mod.rs::test::class_case_fold_unicode_disabled_panics	test	missing	-	auto-generated
src/hir/mod.rs::test::class_difference_bytes	test	missing	-	auto-generated
src/hir/mod.rs::test::class_difference_unicode	test	missing	-	auto-generated
src/hir/mod.rs::test::class_intersect_bytes	test	missing	-	auto-generated
src/hir/mod.rs::test::class_intersect_unicode	test	missing	-	auto-generated
src/hir/mod.rs::test::class_negate_bytes	test	missing	-	auto-generated
src/hir/mod.rs::test::class_negate_unicode	test	missing	-	auto-generated
src/hir/mod.rs::test::class_range_canonical_bytes	test	missing	-	auto-generated
src/hir/mod.rs::test::class_range_canonical_unicode	test	missing	-	auto-generated
src/hir/mod.rs::test::class_symmetric_difference_bytes	test	missing	-	auto-generated
src/hir/mod.rs::test::class_symmetric_difference_unicode	test	missing	-	auto-generated
src/hir/mod.rs::test::class_union_bytes	test	missing	-	auto-generated
src/hir/mod.rs::test::class_union_unicode	test	missing	-	auto-generated
src/hir/mod.rs::test::look_set_debug	test	missing	-	auto-generated
src/hir/mod.rs::test::look_set_iter	test	missing	-	auto-generated
src/hir/mod.rs::test::no_stack_overflow_on_drop	test	missing	-	auto-generated
src/hir/print.rs::func::new	func	ported	Regex::Syntax::Hir::Printer.new	HIR printer constructor ported
src/hir/print.rs::method::Printer.new	method	ported	Regex::Syntax::Hir::Printer.new	HIR printer constructor ported
src/hir/print.rs::struct::Printer	struct	ported	Regex::Syntax::Hir::Printer	HIR printer surface ported
src/hir/print.rs::test::print_alternation	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR alternation printing covered in Crystal HIR print specs
src/hir/print.rs::test::print_anchor	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR anchor printing covered in Crystal HIR print specs
src/hir/print.rs::test::print_class	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR class printing covered in Crystal HIR print specs
src/hir/print.rs::test::print_group	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR group printing covered in Crystal HIR print specs
src/hir/print.rs::test::print_literal	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR literal printing covered in Crystal HIR print specs
src/hir/print.rs::test::print_repetition	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR repetition printing covered in Crystal HIR print specs
src/hir/print.rs::test::print_word_boundary	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR word-boundary printing covered in Crystal HIR print specs
src/hir/print.rs::test::regression_alternation_concat	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR alternation-in-concat regression covered in Crystal HIR print specs
src/hir/print.rs::test::regression_repetition_alternation	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR repetition-over-alternation regression covered in Crystal HIR print specs
src/hir/print.rs::test::regression_repetition_concat	test	ported	lib/regex-syntax/spec/hir_print_spec.cr	HIR repetition-over-concat regression covered in Crystal HIR print specs
src/hir/translate.rs::func::build	func	missing	-	auto-generated
src/hir/translate.rs::func::case_insensitive	func	missing	-	auto-generated
src/hir/translate.rs::func::crlf	func	missing	-	auto-generated
src/hir/translate.rs::func::dot_matches_new_line	func	missing	-	auto-generated
src/hir/translate.rs::func::line_terminator	func	missing	-	auto-generated
src/hir/translate.rs::func::multi_line	func	missing	-	auto-generated
src/hir/translate.rs::func::new	func	missing	-	auto-generated
src/hir/translate.rs::func::swap_greed	func	missing	-	auto-generated
src/hir/translate.rs::func::translate	func	missing	-	auto-generated
src/hir/translate.rs::func::unicode	func	missing	-	auto-generated
src/hir/translate.rs::func::utf8	func	missing	-	auto-generated
src/hir/translate.rs::method::Translator.new	method	missing	-	auto-generated
src/hir/translate.rs::method::TranslatorBuilder.new	method	missing	-	auto-generated
src/hir/translate.rs::struct::Translator	struct	missing	-	auto-generated
src/hir/translate.rs::struct::TranslatorBuilder	struct	missing	-	auto-generated
src/hir/translate.rs::test::analysis_can_empty	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_captures_len	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_is_all_assertions	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_is_alternation_literal	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_is_anchored	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_is_any_anchored	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_is_literal	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_is_utf8	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_look_set_prefix_any	test	missing	-	auto-generated
src/hir/translate.rs::test::analysis_static_captures_len	test	missing	-	auto-generated
src/hir/translate.rs::test::assertions	test	missing	-	auto-generated
src/hir/translate.rs::test::cat_alt	test	missing	-	auto-generated
src/hir/translate.rs::test::cat_class_flattened	test	missing	-	auto-generated
src/hir/translate.rs::test::class_ascii	test	missing	-	auto-generated
src/hir/translate.rs::test::class_ascii_multiple	test	missing	-	auto-generated
src/hir/translate.rs::test::class_bracketed	test	missing	-	auto-generated
src/hir/translate.rs::test::class_bracketed_difference	test	missing	-	auto-generated
src/hir/translate.rs::test::class_bracketed_intersect	test	missing	-	auto-generated
src/hir/translate.rs::test::class_bracketed_intersect_negate	test	missing	-	auto-generated
src/hir/translate.rs::test::class_bracketed_nested	test	missing	-	auto-generated
src/hir/translate.rs::test::class_bracketed_symmetric_difference	test	missing	-	auto-generated
src/hir/translate.rs::test::class_bracketed_union	test	missing	-	auto-generated
src/hir/translate.rs::test::class_perl_ascii	test	missing	-	auto-generated
src/hir/translate.rs::test::class_perl_digit_disabled	test	missing	-	auto-generated
src/hir/translate.rs::test::class_perl_space_disabled	test	missing	-	auto-generated
src/hir/translate.rs::test::class_perl_unicode	test	missing	-	auto-generated
src/hir/translate.rs::test::class_perl_word_disabled	test	missing	-	auto-generated
src/hir/translate.rs::test::class_unicode_age	test	missing	-	auto-generated
src/hir/translate.rs::test::class_unicode_age_disabled	test	missing	-	auto-generated
src/hir/translate.rs::test::class_unicode_any_empty	test	missing	-	auto-generated
src/hir/translate.rs::test::class_unicode_gencat	test	missing	-	auto-generated
src/hir/translate.rs::test::class_unicode_gencat_disabled	test	missing	-	auto-generated
src/hir/translate.rs::test::class_unicode_script	test	missing	-	auto-generated
src/hir/translate.rs::test::class_unicode_script_disabled	test	missing	-	auto-generated
src/hir/translate.rs::test::dot	test	missing	-	auto-generated
src/hir/translate.rs::test::empty	test	missing	-	auto-generated
src/hir/translate.rs::test::escape	test	missing	-	auto-generated
src/hir/translate.rs::test::flags	test	missing	-	auto-generated
src/hir/translate.rs::test::group	test	missing	-	auto-generated
src/hir/translate.rs::test::ignore_whitespace	test	missing	-	auto-generated
src/hir/translate.rs::test::line_anchors	test	missing	-	auto-generated
src/hir/translate.rs::test::literal	test	missing	-	auto-generated
src/hir/translate.rs::test::literal_case_insensitive	test	missing	-	auto-generated
src/hir/translate.rs::test::regression_alt_empty_concat	test	missing	-	auto-generated
src/hir/translate.rs::test::regression_empty_alt	test	missing	-	auto-generated
src/hir/translate.rs::test::regression_fuzz_char_decrement1	test	missing	-	auto-generated
src/hir/translate.rs::test::regression_fuzz_difference1	test	missing	-	auto-generated
src/hir/translate.rs::test::regression_fuzz_match	test	missing	-	auto-generated
src/hir/translate.rs::test::regression_singleton_alt	test	missing	-	auto-generated
src/hir/translate.rs::test::repetition	test	missing	-	auto-generated
src/hir/translate.rs::test::smart_alternation	test	missing	-	auto-generated
src/hir/translate.rs::test::smart_concat	test	missing	-	auto-generated
src/hir/translate.rs::test::smart_repetition	test	missing	-	auto-generated
src/hir/visitor.rs::trait::Visitor	trait	ported	Regex::Syntax::Hir::Visitor, Regex::Syntax::Hir.visit	HIR visitor protocol and traversal entrypoint ported
src/lib.rs::func::escape	func	ported	Regex::Syntax.escape	Public escape helper matches vendored meta-character escaping
src/lib.rs::func::escape_into	func	ported	Regex::Syntax.escape_into	Public IO-based escape helper ported to Crystal
src/lib.rs::func::is_escapeable_character	func	ported	Regex::Syntax.is_escapeable_character, Regex::Syntax.escapeable_character?	Predicate and Crystal-style predicate alias are both available
src/lib.rs::func::is_meta_character	func	ported	Regex::Syntax.is_meta_character, Regex::Syntax.meta_character?	Predicate and Crystal-style predicate alias are both available
src/lib.rs::func::is_word_byte	func	ported	Regex::Syntax.is_word_byte, Regex::Syntax.word_byte?	ASCII word-byte helper ported with Crystal predicate alias
src/lib.rs::func::is_word_character	func	ported	Regex::Syntax.is_word_character, Regex::Syntax.word_character?	Unicode word-character helper ported with Crystal predicate alias
src/lib.rs::func::try_is_word_character	func	ported	Regex::Syntax.try_is_word_character	Crystal keeps the always-available try helper on the top-level API
src/lib.rs::test::escape_meta	test	ported	lib/regex-syntax/spec/lib_spec.cr	Top-level escaping behavior covered in Crystal lib specs
src/lib.rs::test::word_byte	test	ported	lib/regex-syntax/spec/lib_spec.cr	ASCII word-byte behavior covered in Crystal lib specs
src/lib.rs::test::word_char	test	ported	lib/regex-syntax/spec/lib_spec.cr	Unicode word-character behavior covered in Crystal lib specs
src/lib.rs::test::word_char_disabled_error	test	skipped	lib/regex-syntax/spec/lib_spec.cr	Crystal shard always ships Unicode Perl data, so the disabled-feature error path is not exposed
src/lib.rs::test::word_char_disabled_panic	test	skipped	lib/regex-syntax/spec/lib_spec.cr	Crystal shard always ships Unicode Perl data, so the disabled-feature panic path is not exposed
src/parser.rs::func::build	func	ported	Regex::Syntax::ParserBuilder#build	ParserBuilder builds configured parser instances like vendored Rust
src/parser.rs::func::case_insensitive	func	ported	Regex::Syntax::ParserBuilder#case_insensitive	Builder setter ported
src/parser.rs::func::crlf	func	ported	Regex::Syntax::ParserBuilder#crlf	Builder setter ported
src/parser.rs::func::dot_matches_new_line	func	ported	Regex::Syntax::ParserBuilder#dot_matches_new_line	Builder setter ported
src/parser.rs::func::ignore_whitespace	func	ported	Regex::Syntax::ParserBuilder#ignore_whitespace	Builder setter ported
src/parser.rs::func::line_terminator	func	ported	Regex::Syntax::ParserBuilder#line_terminator	Builder setter ported
src/parser.rs::func::multi_line	func	ported	Regex::Syntax::ParserBuilder#multi_line	Builder setter ported
src/parser.rs::func::nest_limit	func	ported	Regex::Syntax::ParserBuilder#nest_limit	Builder setter ported
src/parser.rs::func::new	func	ported	Regex::Syntax::Parser.new, Regex::Syntax::ParserBuilder.new	Default parser and builder constructors are public
src/parser.rs::func::octal	func	ported	Regex::Syntax::ParserBuilder#octal	Builder setter ported
src/parser.rs::func::parse	func	ported	Regex::Syntax.parse, Regex::Syntax::Parser#parse	Crystal raises AST/HIR exceptions instead of returning Result values
src/parser.rs::func::swap_greed	func	ported	Regex::Syntax::ParserBuilder#swap_greed	Builder setter ported
src/parser.rs::func::unicode	func	ported	Regex::Syntax::ParserBuilder#unicode	Builder setter ported
src/parser.rs::func::utf8	func	ported	Regex::Syntax::ParserBuilder#utf8	Builder setter ported
src/parser.rs::method::Parser.new	method	ported	Regex::Syntax::Parser.new	Default parser constructor ported
src/parser.rs::method::ParserBuilder.new	method	ported	Regex::Syntax::ParserBuilder.new	Default parser builder constructor ported
src/parser.rs::struct::Parser	struct	ported	Regex::Syntax::Parser	Convenience parser combines AST parsing and HIR translation
src/parser.rs::struct::ParserBuilder	struct	ported	Regex::Syntax::ParserBuilder	Builder combines AST parser and HIR translator configuration
src/unicode.rs::enum::ClassQuery	enum	ported	Regex::Syntax::Unicode::ClassQuery::OneLetter, Regex::Syntax::Unicode::ClassQuery::Binary, Regex::Syntax::Unicode::ClassQuery::ByValue	Crystal models Rust enum variants as nested structs under an abstract ClassQuery type
src/unicode.rs::enum::Error	enum	ported	Regex::Syntax::Unicode::Error	Unicode property and Perl-class lookup error enum ported
src/unicode.rs::func::class	func	ported	Regex::Syntax::Unicode.class	Unicode class query dispatcher ported
src/unicode.rs::func::hir_class	func	ported	Regex::Syntax::Unicode.hir_class	Unicode HIR class builder ported
src/unicode.rs::func::is_word_character	func	ported	Regex::Syntax::Unicode.is_word_character, Regex::Syntax::Unicode.word_character?	Unicode word-character predicate and alias ported
src/unicode.rs::func::mapping	func	ported	Regex::Syntax::Unicode::SimpleCaseFolder#mapping	Stateful simple case-fold mapping lookup ported
src/unicode.rs::func::new	func	ported	Regex::Syntax::Unicode::SimpleCaseFolder.new, Regex::Syntax::Unicode::ClassQuery::OneLetter.new, Regex::Syntax::Unicode::ClassQuery::Binary.new, Regex::Syntax::Unicode::ClassQuery::ByValue.new	Unicode helper constructors are public in Crystal
src/unicode.rs::func::overlaps	func	ported	Regex::Syntax::Unicode::SimpleCaseFolder#overlaps	Simple case-fold overlap probe ported
src/unicode.rs::func::perl_digit	func	ported	Regex::Syntax::Unicode.perl_digit	Unicode-aware Perl digit class helper ported
src/unicode.rs::func::perl_space	func	ported	Regex::Syntax::Unicode.perl_space	Unicode-aware Perl space class helper ported
src/unicode.rs::func::perl_word	func	ported	Regex::Syntax::Unicode.perl_word	Unicode-aware Perl word class helper ported
src/unicode.rs::method::SimpleCaseFolder.new	method	ported	Regex::Syntax::Unicode::SimpleCaseFolder.new	Simple case-fold table traverser constructor ported
src/unicode.rs::struct::CaseFoldError	struct	ported	Regex::Syntax::Unicode::CaseFoldError	Unicode case-fold availability error type ported
src/unicode.rs::struct::SimpleCaseFolder	struct	ported	Regex::Syntax::Unicode::SimpleCaseFolder	Stateful Unicode simple case-fold traverser ported
src/unicode.rs::struct::UnicodeWordError	struct	ported	Regex::Syntax::UnicodeWordError	Top-level Unicode word-class error surface matches the Rust crate re-export
src/unicode.rs::test::range_contains	test	ported	lib/regex-syntax/spec/unicode_spec.cr	Simple case-fold overlap behavior covered in Crystal Unicode specs
src/unicode.rs::test::regression_466	test	ported	lib/regex-syntax/spec/unicode_spec.cr	One-letter general-category canonicalization regression covered in Crystal Unicode specs
src/unicode.rs::test::simple_fold_a	test	ported	lib/regex-syntax/spec/unicode_spec.cr	ASCII simple case-fold behavior covered in Crystal Unicode specs
src/unicode.rs::test::simple_fold_disabled	test	skipped	lib/regex-syntax/spec/unicode_query_helper_spec.cr	Crystal shard always ships Unicode case-fold tables, so the disabled-feature error path is not exposed
src/unicode.rs::test::simple_fold_k	test	ported	lib/regex-syntax/spec/unicode_spec.cr	Kelvin-sign simple case-fold behavior covered in Crystal Unicode specs
src/unicode.rs::test::sym_normalize	test	ported	lib/regex-syntax/spec/unicode_spec.cr	Symbolic Unicode property-name normalization covered in Crystal Unicode specs
src/unicode.rs::test::valid_utf8_symbolic	test	ported	lib/regex-syntax/spec/unicode_spec.cr	Symbolic-name byte normalization preserves valid UTF-8 in Crystal Unicode specs
src/unicode_tables/age.rs::const::BY_NAME	const	ported	Regex::Syntax::UnicodeTables::Age::BY_NAME	Normalized age lookup table ported
src/unicode_tables/age.rs::const::V10_0	const	ported	Regex::Syntax::UnicodeTables::Age::V10_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V11_0	const	ported	Regex::Syntax::UnicodeTables::Age::V11_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V12_0	const	ported	Regex::Syntax::UnicodeTables::Age::V12_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V12_1	const	ported	Regex::Syntax::UnicodeTables::Age::V12_1	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V13_0	const	ported	Regex::Syntax::UnicodeTables::Age::V13_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V14_0	const	ported	Regex::Syntax::UnicodeTables::Age::V14_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V15_0	const	ported	Regex::Syntax::UnicodeTables::Age::V15_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V15_1	const	ported	Regex::Syntax::UnicodeTables::Age::V15_1	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V16_0	const	ported	Regex::Syntax::UnicodeTables::Age::V16_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V1_1	const	ported	Regex::Syntax::UnicodeTables::Age::V1_1	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V2_0	const	ported	Regex::Syntax::UnicodeTables::Age::V2_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V2_1	const	ported	Regex::Syntax::UnicodeTables::Age::V2_1	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V3_0	const	ported	Regex::Syntax::UnicodeTables::Age::V3_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V3_1	const	ported	Regex::Syntax::UnicodeTables::Age::V3_1	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V3_2	const	ported	Regex::Syntax::UnicodeTables::Age::V3_2	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V4_0	const	ported	Regex::Syntax::UnicodeTables::Age::V4_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V4_1	const	ported	Regex::Syntax::UnicodeTables::Age::V4_1	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V5_0	const	ported	Regex::Syntax::UnicodeTables::Age::V5_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V5_1	const	ported	Regex::Syntax::UnicodeTables::Age::V5_1	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V5_2	const	ported	Regex::Syntax::UnicodeTables::Age::V5_2	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V6_0	const	ported	Regex::Syntax::UnicodeTables::Age::V6_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V6_1	const	ported	Regex::Syntax::UnicodeTables::Age::V6_1	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V6_2	const	ported	Regex::Syntax::UnicodeTables::Age::V6_2	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V6_3	const	ported	Regex::Syntax::UnicodeTables::Age::V6_3	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V7_0	const	ported	Regex::Syntax::UnicodeTables::Age::V7_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V8_0	const	ported	Regex::Syntax::UnicodeTables::Age::V8_0	Generated age Unicode table constant ported
src/unicode_tables/age.rs::const::V9_0	const	ported	Regex::Syntax::UnicodeTables::Age::V9_0	Generated age Unicode table constant ported
src/unicode_tables/case_folding_simple.rs::const::CASE_FOLDING_SIMPLE	const	ported	Regex::Syntax::UnicodeTables::CaseFoldingSimple::CASE_FOLDING_SIMPLE	Vendored simple case-fold mapping table ported
src/unicode_tables/general_category.rs::const::BY_NAME	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::BY_NAME	Normalized general-category lookup table ported
src/unicode_tables/general_category.rs::const::CASED_LETTER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::CASED_LETTER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::CLOSE_PUNCTUATION	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::CLOSE_PUNCTUATION	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::CONNECTOR_PUNCTUATION	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::CONNECTOR_PUNCTUATION	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::CONTROL	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::CONTROL	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::CURRENCY_SYMBOL	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::CURRENCY_SYMBOL	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::DASH_PUNCTUATION	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::DASH_PUNCTUATION	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::DECIMAL_NUMBER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::DECIMAL_NUMBER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::ENCLOSING_MARK	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::ENCLOSING_MARK	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::FINAL_PUNCTUATION	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::FINAL_PUNCTUATION	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::FORMAT	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::FORMAT	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::INITIAL_PUNCTUATION	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::INITIAL_PUNCTUATION	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::LETTER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::LETTER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::LETTER_NUMBER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::LETTER_NUMBER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::LINE_SEPARATOR	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::LINE_SEPARATOR	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::LOWERCASE_LETTER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::LOWERCASE_LETTER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::MARK	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::MARK	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::MATH_SYMBOL	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::MATH_SYMBOL	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::MODIFIER_LETTER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::MODIFIER_LETTER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::MODIFIER_SYMBOL	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::MODIFIER_SYMBOL	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::NONSPACING_MARK	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::NONSPACING_MARK	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::NUMBER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::NUMBER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::OPEN_PUNCTUATION	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::OPEN_PUNCTUATION	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::OTHER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::OTHER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::OTHER_LETTER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::OTHER_LETTER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::OTHER_NUMBER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::OTHER_NUMBER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::OTHER_PUNCTUATION	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::OTHER_PUNCTUATION	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::OTHER_SYMBOL	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::OTHER_SYMBOL	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::PARAGRAPH_SEPARATOR	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::PARAGRAPH_SEPARATOR	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::PRIVATE_USE	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::PRIVATE_USE	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::PUNCTUATION	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::PUNCTUATION	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::SEPARATOR	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::SEPARATOR	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::SPACE_SEPARATOR	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::SPACE_SEPARATOR	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::SPACING_MARK	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::SPACING_MARK	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::SYMBOL	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::SYMBOL	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::TITLECASE_LETTER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::TITLECASE_LETTER	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::UNASSIGNED	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::UNASSIGNED	Generated general-category Unicode table constant ported
src/unicode_tables/general_category.rs::const::UPPERCASE_LETTER	const	ported	Regex::Syntax::UnicodeTables::GeneralCategory::UPPERCASE_LETTER	Generated general-category Unicode table constant ported
src/unicode_tables/grapheme_cluster_break.rs::const::BY_NAME	const	ported	Regex::Syntax::UnicodeTables::GraphemeClusterBreak::BY_NAME	Normalized grapheme-cluster-break lookup table ported
src/unicode_tables/grapheme_cluster_break.rs::const::CONTROL	const	ported	Regex::Syntax::UnicodeTables::GraphemeClusterBreak::CONTROL	Generated grapheme-cluster-break Unicode table constant ported
